id,lat,lng,x,y,index
1,-43.040024,-22.336061,502,175,0
2,-43.040024,-22.336086,502,175,1
4619,-43.04002,-22.33611,502,175,2
2,-43.040024,-22.336086,502,175,3
4620,-43.040062,-22.335981,502,174,4
4621,-43.04008,-22.335838,502,172,5
4622,-43.040054,-22.335644,502,170,6
4623,-43.04005,-22.33549,502,168,7
4624,-43.040146,-22.335344,501,167,8
4625,-43.040382,-22.33531,499,166,9
4626,-43.040417,-22.335314,498,166,10
4627,-43.040596,-22.335335,496,167,11
4628,-43.04063,-22.335339,496,167,12
4629,-43.040844,-22.335361,494,167,13
4630,-43.041042,-22.335312,492,166,14
4631,-43.041294,-22.33522,489,165,15
4632,-43.041492,-22.335125,487,164,16
4633,-43.041702,-22.33509,485,164,17
4634,-43.042004,-22.335064,482,164,18
4635,-43.04223,-22.33496,480,163,19
4636,-43.042343,-22.334719,478,160,20
4637,-43.04251,-22.33432,477,155,21
4638,-43.042686,-22.33412,475,153,22
4639,-43.0428,-22.333961,474,151,23
4640,-43.04282,-22.333918,474,151,24
4641,-43.04281,-22.333769,474,149,25
4642,-43.04267,-22.333517,475,147,26
4643,-43.04263,-22.333376,476,145,27
4644,-43.04262,-22.33333,476,144,28
4645,-43.042572,-22.33316,476,143,29
4646,-43.042572,-22.333149,476,142,30
4647,-43.04258,-22.332983,476,141,31
4648,-43.042583,-22.33295,476,140,32
4649,-43.042618,-22.332825,476,139,33
4650,-43.042507,-22.332645,477,137,34
4651,-43.04259,-22.332401,476,134,35
4652,-43.04264,-22.332373,475,134,36
4653,-43.042824,-22.332253,474,133,37
4654,-43.042927,-22.33215,472,131,38
4655,-43.042953,-22.33212,472,131,39
4656,-43.043266,-22.331932,469,129,40
4657,-43.043312,-22.33191,469,129,41
4658,-43.043358,-22.331896,468,129,42
4659,-43.043507,-22.331831,467,128,43
4660,-43.04354,-22.331818,466,128,44
4661,-43.043724,-22.331736,464,127,45
4662,-43.04405,-22.331505,461,124,46
4663,-43.044235,-22.331297,459,122,47
4664,-43.044445,-22.331133,457,120,48
4665,-43.044853,-22.330797,453,116,49
4666,-43.045197,-22.330612,449,114,50
4667,-43.045567,-22.330383,445,112,51
4668,-43.045883,-22.330181,442,110,52
4669,-43.04634,-22.329899,438,106,53
4670,-43.046543,-22.329704,435,104,54
4671,-43.046574,-22.32969,435,104,55
4672,-43.046722,-22.329576,434,103,56
4673,-43.04699,-22.329468,431,102,57
4674,-43.0472,-22.329311,429,100,58
4675,-43.04733,-22.329245,427,99,59
4676,-43.0476,-22.32925,425,99,60
4675,-43.04733,-22.329245,427,99,61
4674,-43.0472,-22.329311,429,100,62
4673,-43.04699,-22.329468,431,102,63
4672,-43.046722,-22.329576,434,103,64
4671,-43.046574,-22.32969,435,104,65
4670,-43.046543,-22.329704,435,104,66
4669,-43.04634,-22.329899,438,106,67
4668,-43.045883,-22.330181,442,110,68
4667,-43.045567,-22.330383,445,112,69
4666,-43.045197,-22.330612,449,114,70
4665,-43.044853,-22.330797,453,116,71
4664,-43.044445,-22.331133,457,120,72
4663,-43.044235,-22.331297,459,122,73
4662,-43.04405,-22.331505,461,124,74
4661,-43.043724,-22.331736,464,127,75
4660,-43.04354,-22.331818,466,128,76
4659,-43.043507,-22.331831,467,128,77
4658,-43.043358,-22.331896,468,129,78
4657,-43.043312,-22.33191,469,129,79
4656,-43.043266,-22.331932,469,129,80
4655,-43.042953,-22.33212,472,131,81
4654,-43.042927,-22.33215,472,131,82
4653,-43.042824,-22.332253,474,133,83
4652,-43.04264,-22.332373,475,134,84
4651,-43.04259,-22.332401,476,134,85
4650,-43.042507,-22.332645,477,137,86
4649,-43.042618,-22.332825,476,139,87
4648,-43.042583,-22.33295,476,140,88
4647,-43.04258,-22.332983,476,141,89
4646,-43.042572,-22.333149,476,142,90
4645,-43.042572,-22.33316,476,143,91
4644,-43.04262,-22.33333,476,144,92
4643,-43.04263,-22.333376,476,145,93
4642,-43.04267,-22.333517,475,147,94
4641,-43.04281,-22.333769,474,149,95
4640,-43.04282,-22.333918,474,151,96
4639,-43.0428,-22.333961,474,151,97
4638,-43.042686,-22.33412,475,153,98
4637,-43.04251,-22.33432,477,155,99
4636,-43.042343,-22.334719,478,160,100
4635,-43.04223,-22.33496,480,163,101
4634,-43.042004,-22.335064,482,164,102
4633,-43.041702,-22.33509,485,164,103
4632,-43.041492,-22.335125,487,164,104
4631,-43.041294,-22.33522,489,165,105
4630,-43.041042,-22.335312,492,166,106
4629,-43.040844,-22.335361,494,167,107
4628,-43.04063,-22.335339,496,167,108
4627,-43.040596,-22.335335,496,167,109
4626,-43.040417,-22.335314,498,166,110
4625,-43.040382,-22.33531,499,166,111
4624,-43.040146,-22.335344,501,167,112
4623,-43.04005,-22.33549,502,168,113
4622,-43.040054,-22.335644,502,170,114
4621,-43.04008,-22.335838,502,172,115
4620,-43.040062,-22.335981,502,174,116
2,-43.040024,-22.336086,502,175,117
3,-43.04013,-22.33632,501,178,118
4,-43.04027,-22.336466,500,179,119
