id,lat,lng,x,y,index
1,-22.402105,-43.08817,183,937,0
2,-22.40206,-43.08811,184,936,1
2510,-22.402174,-43.08825,182,937,2
2509,-22.402378,-43.08836,181,940,3
2508,-22.402525,-43.088463,180,942,4
2507,-22.40264,-43.088573,179,943,5
2506,-22.402803,-43.08875,177,945,6
2505,-22.402847,-43.088924,175,946,7
2504,-22.402956,-43.089096,173,947,8
2503,-22.402927,-43.089325,170,947,9
2502,-22.402863,-43.089573,168,946,10
2501,-22.402826,-43.089752,166,945,11
2500,-22.402819,-43.089985,163,945,12
2499,-22.402744,-43.09039,159,944,13
2498,-22.402725,-43.090607,156,944,14
2497,-22.402737,-43.09079,154,944,15
2496,-22.40272,-43.090984,152,944,16
2495,-22.402628,-43.091225,149,943,17
2494,-22.402487,-43.091473,147,941,18
1376,-22.402323,-43.091625,144,939,19
2493,-22.40221,-43.09195,141,938,20
1376,-22.402323,-43.091625,144,939,21
1377,-22.402252,-43.091763,143,938,22
1378,-22.4022,-43.092022,140,938,23
1379,-22.402258,-43.0922,138,938,24
1380,-22.402372,-43.09239,136,940,25
1381,-22.402462,-43.09271,133,941,26
1382,-22.402538,-43.092884,131,942,27
1383,-22.40253,-43.093113,128,942,28
1384,-22.402737,-43.093216,127,944,29
1385,-22.403025,-43.09322,127,948,30
1386,-22.403187,-43.093052,129,950,31
1387,-22.403364,-43.092983,130,952,32
1388,-22.4035,-43.093014,129,953,33
1389,-22.40389,-43.093002,130,958,34
1390,-22.40416,-43.092995,130,961,35
1391,-22.404364,-43.093002,130,964,36
1392,-22.404781,-43.09305,129,969,37
1393,-22.405085,-43.09317,128,973,38
1394,-22.405313,-43.09322,127,975,39
1395,-22.405901,-43.09342,125,982,40
1396,-22.406078,-43.093506,124,984,41
1397,-22.406551,-43.093685,122,990,42
1398,-22.406752,-43.09374,121,993,43
1399,-22.407108,-43.09384,120,997,44
1400,-22.407299,-43.093933,119,999,45
1399,-22.407108,-43.09384,120,997,46
1398,-22.406752,-43.09374,121,993,47
1397,-22.406551,-43.093685,122,990,48
1396,-22.406078,-43.093506,124,984,49
1395,-22.405901,-43.09342,125,982,50
1394,-22.405313,-43.09322,127,975,51
1393,-22.405085,-43.09317,128,973,52
1392,-22.404781,-43.09305,129,969,53
1391,-22.404364,-43.093002,130,964,54
1390,-22.40416,-43.092995,130,961,55
1389,-22.40389,-43.093002,130,958,56
1388,-22.4035,-43.093014,129,953,57
1387,-22.403364,-43.092983,130,952,58
1386,-22.403187,-43.093052,129,950,59
1385,-22.403025,-43.09322,127,948,60
1384,-22.402737,-43.093216,127,944,61
1383,-22.40253,-43.093113,128,942,62
1382,-22.402538,-43.092884,131,942,63
1381,-22.402462,-43.09271,133,941,64
1380,-22.402372,-43.09239,136,940,65
1379,-22.402258,-43.0922,138,938,66
1378,-22.4022,-43.092022,140,938,67
1377,-22.402252,-43.091763,143,938,68
1376,-22.402323,-43.091625,144,939,69
