id,lat,lng,x,y,index
1,-22.336061,-43.040024,719,142,0
2,-22.336021,-43.04004,719,141,1
1828,-22.335625,-43.03985,721,136,2
1586,-22.335392,-43.039597,724,133,3
1585,-22.335405,-43.039585,724,134,4
1587,-22.335407,-43.039562,725,134,5
1588,-22.335327,-43.03924,728,133,6
1589,-22.334822,-43.039093,730,127,7
1590,-22.334173,-43.03851,736,119,8
1591,-22.334036,-43.037075,752,117,9
1592,-22.333637,-43.03578,767,112,10
1593,-22.333534,-43.03497,776,111,11
1594,-22.333874,-43.033962,787,115,12
1595,-22.334314,-43.0334,793,121,13
1596,-22.334476,-43.03296,798,123,14
1597,-22.334759,-43.03263,802,126,15
1598,-22.33515,-43.032448,804,131,16
1599,-22.335457,-43.032143,807,134,17
1598,-22.33515,-43.032448,804,131,18
1597,-22.334759,-43.03263,802,126,19
1596,-22.334476,-43.03296,798,123,20
1595,-22.334314,-43.0334,793,121,21
1594,-22.333874,-43.033962,787,115,22
1593,-22.333534,-43.03497,776,111,23
1592,-22.333637,-43.03578,767,112,24
1591,-22.334036,-43.037075,752,117,25
1590,-22.334173,-43.03851,736,119,26
1589,-22.334822,-43.039093,730,127,27
1588,-22.335327,-43.03924,728,133,28
1587,-22.335407,-43.039562,725,134,29
1585,-22.335405,-43.039585,724,134,30
1586,-22.335392,-43.039597,724,133,31
1829,-22.335012,-43.03962,724,129,32
1830,-22.33445,-43.039997,720,122,33
1831,-22.333618,-43.040344,716,112,34
1832,-22.332804,-43.04041,715,102,35
1833,-22.332142,-43.04077,711,94,36
1834,-22.332056,-43.041348,705,93,37
1835,-22.331455,-43.041595,702,86,38
1836,-22.331055,-43.041336,705,81,39
1835,-22.331455,-43.041595,702,86,40
1834,-22.332056,-43.041348,705,93,41
1833,-22.332142,-43.04077,711,94,42
1832,-22.332804,-43.04041,715,102,43
1831,-22.333618,-43.040344,716,112,44
1830,-22.33445,-43.039997,720,122,45
1829,-22.335012,-43.03962,724,129,46
1586,-22.335392,-43.039597,724,133,47
1828,-22.335625,-43.03985,721,136,48
2,-22.336021,-43.04004,719,141,49
1,-22.336061,-43.040024,719,142,50
3,-22.336563,-43.040516,714,148,51
4,-22.337048,-43.040558,713,153,52
5,-22.337593,-43.040913,709,160,53
6,-22.337954,-43.041367,704,164,54
8,-22.338566,-43.04174,700,171,55
1512,-22.338459,-43.041668,701,170,56
1513,-22.338501,-43.041256,706,171,57
1514,-22.338432,-43.04083,710,170,58
1515,-22.337595,-43.04017,718,160,59
1516,-22.3374,-43.038425,737,158,60
1517,-22.338356,-43.037052,752,169,61
1518,-22.338541,-43.03619,762,171,62
1519,-22.337656,-43.034615,780,161,63
1520,-22.337702,-43.034077,786,161,64
1521,-22.338203,-43.032894,799,167,65
1522,-22.339052,-43.032207,806,178,66
1523,-22.339758,-43.031296,817,186,67
1524,-22.340424,-43.03063,824,194,68
1525,-22.340525,-43.029728,834,195,69
1526,-22.340487,-43.029583,836,195,70
1525,-22.340525,-43.029728,834,195,71
1524,-22.340424,-43.03063,824,194,72
1523,-22.339758,-43.031296,817,186,73
1522,-22.339052,-43.032207,806,178,74
1521,-22.338203,-43.032894,799,167,75
1520,-22.337702,-43.034077,786,161,76
1519,-22.337656,-43.034615,780,161,77
1518,-22.338541,-43.03619,762,171,78
1517,-22.338356,-43.037052,752,169,79
1516,-22.3374,-43.038425,737,158,80
1515,-22.337595,-43.04017,718,160,81
1514,-22.338432,-43.04083,710,170,82
1513,-22.338501,-43.041256,706,171,83
1512,-22.338459,-43.041668,701,170,84
8,-22.338566,-43.04174,700,171,85
7,-22.338673,-43.04181,699,173,86
9,-22.33872,-43.042294,694,174,87
10,-22.339104,-43.0433,683,178,88
11,-22.339104,-43.04422,673,178,89
12,-22.33945,-43.04466,668,182,90
14,-22.340302,-43.04516,662,192,91
1396,-22.340193,-43.045105,663,191,92
1397,-22.340027,-43.044987,664,189,93
1914,-22.339863,-43.04487,665,187,94
1913,-22.340067,-43.044056,674,190,95
1912,-22.340117,-43.043144,685,190,96
1911,-22.340992,-43.042034,697,201,97
1910,-22.34176,-43.040817,711,210,98
1909,-22.342512,-43.03964,724,219,99
1908,-22.343248,-43.03871,734,228,100
1907,-22.343767,-43.03699,753,234,101
1908,-22.343248,-43.03871,734,228,102
1909,-22.342512,-43.03964,724,219,103
1910,-22.34176,-43.040817,711,210,104
1911,-22.340992,-43.042034,697,201,105
1912,-22.340117,-43.043144,685,190,106
1913,-22.340067,-43.044056,674,190,107
1914,-22.339863,-43.04487,665,187,108
1397,-22.340027,-43.044987,664,189,109
1396,-22.340193,-43.045105,663,191,110
14,-22.340302,-43.04516,662,192,111
13,-22.340412,-43.04521,662,194,112
15,-22.341095,-43.045475,659,202,113
16,-22.341557,-43.046074,652,208,114
17,-22.342249,-43.046898,643,216,115
18,-22.342611,-43.047432,637,220,116
19,-22.34302,-43.047874,632,225,117
21,-22.343102,-43.048645,623,226,118
20,-22.343096,-43.048748,622,226,119
22,-22.343468,-43.049015,619,231,120
23,-22.343903,-43.048973,620,236,121
24,-22.344465,-43.04954,613,243,122
1818,-22.34432,-43.048756,622,241,123
1819,-22.34449,-43.047733,634,243,124
1820,-22.344822,-43.047523,636,247,125
1821,-22.345387,-43.047623,635,254,126
1822,-22.345865,-43.0474,637,260,127
1823,-22.346342,-43.047516,636,265,128
1824,-22.347048,-43.047432,637,274,129
1825,-22.348227,-43.04719,640,288,130
1826,-22.349312,-43.046852,643,301,131
1827,-22.349575,-43.04591,654,304,132
1826,-22.349312,-43.046852,643,301,133
1825,-22.348227,-43.04719,640,288,134
1824,-22.347048,-43.047432,637,274,135
1823,-22.346342,-43.047516,636,265,136
1822,-22.345865,-43.0474,637,260,137
1821,-22.345387,-43.047623,635,254,138
1820,-22.344822,-43.047523,636,247,139
1819,-22.34449,-43.047733,634,243,140
1818,-22.34432,-43.048756,622,241,141
24,-22.344465,-43.04954,613,243,142
25,-22.3443,-43.049805,610,241,143
26,-22.344423,-43.050392,604,242,144
27,-22.345007,-43.050762,600,249,145
28,-22.345655,-43.05114,596,257,146
1616,-22.345694,-43.051147,596,258,147
1617,-22.345852,-43.050953,598,259,148
1618,-22.346016,-43.050774,600,261,149
1619,-22.346096,-43.05065,601,262,150
1620,-22.346113,-43.050545,602,263,151
1621,-22.346113,-43.050423,604,263,152
1622,-22.346226,-43.05031,605,264,153
1623,-22.346315,-43.050243,606,265,154
1624,-22.346317,-43.050133,607,265,155
1625,-22.34636,-43.049984,608,266,156
1626,-22.346405,-43.049892,609,266,157
1627,-22.346462,-43.049812,610,267,158
1628,-22.34648,-43.04976,611,267,159
1627,-22.346462,-43.049812,610,267,160
1626,-22.346405,-43.049892,609,266,161
1625,-22.34636,-43.049984,608,266,162
1624,-22.346317,-43.050133,607,265,163
1623,-22.346315,-43.050243,606,265,164
1622,-22.346226,-43.05031,605,264,165
1621,-22.346113,-43.050423,604,263,166
1620,-22.346113,-43.050545,602,263,167
1619,-22.346096,-43.05065,601,262,168
1618,-22.346016,-43.050774,600,261,169
1617,-22.345852,-43.050953,598,259,170
1616,-22.345694,-43.051147,596,258,171
28,-22.345655,-43.05114,596,257,172
29,-22.345875,-43.051327,594,260,173
1238,-22.34554,-43.05137,593,256,174
1239,-22.345356,-43.051292,594,254,175
1240,-22.344622,-43.051395,593,245,176
1241,-22.34449,-43.05151,591,243,177
