id,lat,lng,x,y,index
1,-22.336061,-43.040024,719,142,0
2,-22.336021,-43.04004,719,141,1
1876,-22.335625,-43.03985,721,136,2
1657,-22.335392,-43.039597,724,133,3
1877,-22.335012,-43.03962,724,129,4
1878,-22.33445,-43.039997,720,122,5
1879,-22.333618,-43.040344,716,112,6
1880,-22.332804,-43.04041,715,102,7
1881,-22.332142,-43.04077,711,94,8
1882,-22.332056,-43.041348,705,93,9
1883,-22.331455,-43.041595,702,86,10
1884,-22.331055,-43.041336,705,81,11
1883,-22.331455,-43.041595,702,86,12
1882,-22.332056,-43.041348,705,93,13
1881,-22.332142,-43.04077,711,94,14
1880,-22.332804,-43.04041,715,102,15
1879,-22.333618,-43.040344,716,112,16
1878,-22.33445,-43.039997,720,122,17
1877,-22.335012,-43.03962,724,129,18
1657,-22.335392,-43.039597,724,133,19
1656,-22.335405,-43.039585,724,134,20
1658,-22.335407,-43.039562,725,134,21
1659,-22.335327,-43.03924,728,133,22
1660,-22.334822,-43.039093,730,127,23
1661,-22.334173,-43.03851,736,119,24
1662,-22.334036,-43.037075,752,117,25
1663,-22.333637,-43.03578,767,112,26
1664,-22.333534,-43.03497,776,111,27
1665,-22.333874,-43.033962,787,115,28
1666,-22.334314,-43.0334,793,121,29
1667,-22.334476,-43.03296,798,123,30
1668,-22.334759,-43.03263,802,126,31
1669,-22.33515,-43.032448,804,131,32
1670,-22.335457,-43.032143,807,134,33
1669,-22.33515,-43.032448,804,131,34
1668,-22.334759,-43.03263,802,126,35
1667,-22.334476,-43.03296,798,123,36
1666,-22.334314,-43.0334,793,121,37
1665,-22.333874,-43.033962,787,115,38
1664,-22.333534,-43.03497,776,111,39
1663,-22.333637,-43.03578,767,112,40
1662,-22.334036,-43.037075,752,117,41
1661,-22.334173,-43.03851,736,119,42
1660,-22.334822,-43.039093,730,127,43
1659,-22.335327,-43.03924,728,133,44
1658,-22.335407,-43.039562,725,134,45
1656,-22.335405,-43.039585,724,134,46
1657,-22.335392,-43.039597,724,133,47
1876,-22.335625,-43.03985,721,136,48
2,-22.336021,-43.04004,719,141,49
1,-22.336061,-43.040024,719,142,50
3,-22.336563,-43.040516,714,148,51
4,-22.337048,-43.040558,713,153,52
5,-22.337593,-43.040913,709,160,53
6,-22.337954,-43.041367,704,164,54
8,-22.338566,-43.04174,700,171,55
1424,-22.338459,-43.041668,701,170,56
1425,-22.338501,-43.041256,706,171,57
1426,-22.338432,-43.04083,710,170,58
1427,-22.337908,-43.04059,713,164,59
1428,-22.337595,-43.04017,718,160,60
1429,-22.337473,-43.039207,728,159,61
1430,-22.3374,-43.038425,737,158,62
1431,-22.33772,-43.037704,745,162,63
1432,-22.338356,-43.037052,752,169,64
1433,-22.338541,-43.03619,762,171,65
354,-22.33826,-43.035587,769,168,66
355,-22.338236,-43.035618,768,168,67
1035,-22.338171,-43.035614,768,167,68
1034,-22.338142,-43.03561,769,167,69
1033,-22.338093,-43.035614,768,166,70
1032,-22.338076,-43.03561,769,166,71
1031,-22.338034,-43.03561,769,165,72
1030,-22.338001,-43.035614,768,165,73
1029,-22.33793,-43.03563,768,164,74
1028,-22.33781,-43.035664,768,163,75
1027,-22.337727,-43.035683,768,162,76
1026,-22.33766,-43.035706,767,161,77
1025,-22.33755,-43.03574,767,160,78
1024,-22.337477,-43.035744,767,159,79
1023,-22.337404,-43.03573,767,158,80
1022,-22.337368,-43.035717,767,157,81
1021,-22.337305,-43.03568,768,157,82
1020,-22.337227,-43.03564,768,156,83
1019,-22.337198,-43.035625,768,155,84
1018,-22.337154,-43.03557,769,155,85
1017,-22.337122,-43.035545,769,154,86
1016,-22.337097,-43.035473,770,154,87
1015,-22.337097,-43.03535,771,154,88
1014,-22.336998,-43.035015,775,153,89
1015,-22.337097,-43.03535,771,154,90
1016,-22.337097,-43.035473,770,154,91
1017,-22.337122,-43.035545,769,154,92
1018,-22.337154,-43.03557,769,155,93
1019,-22.337198,-43.035625,768,155,94
1020,-22.337227,-43.03564,768,156,95
1021,-22.337305,-43.03568,768,157,96
1022,-22.337368,-43.035717,767,157,97
1023,-22.337404,-43.03573,767,158,98
1024,-22.337477,-43.035744,767,159,99
1025,-22.33755,-43.03574,767,160,100
1026,-22.33766,-43.035706,767,161,101
1027,-22.337727,-43.035683,768,162,102
1028,-22.33781,-43.035664,768,163,103
1029,-22.33793,-43.03563,768,164,104
1030,-22.338001,-43.035614,768,165,105
1031,-22.338034,-43.03561,769,165,106
1032,-22.338076,-43.03561,769,166,107
1033,-22.338093,-43.035614,768,166,108
1034,-22.338142,-43.03561,769,167,109
1035,-22.338171,-43.035614,768,167,110
355,-22.338236,-43.035618,768,168,111
354,-22.33826,-43.035587,769,168,112
353,-22.33831,-43.035526,769,169,113
352,-22.33835,-43.035465,770,169,114
351,-22.338446,-43.03536,771,170,115
350,-22.33851,-43.035316,772,171,116
349,-22.338593,-43.035263,772,172,117
348,-22.33866,-43.03519,773,173,118
347,-22.33871,-43.035164,773,174,119
346,-22.338776,-43.03511,774,174,120
345,-22.338808,-43.035084,774,175,121
344,-22.338861,-43.035053,775,175,122
343,-22.33894,-43.03502,775,176,123
342,-22.338987,-43.034996,775,177,124
341,-22.339018,-43.034977,776,177,125
340,-22.339092,-43.03494,776,178,126
339,-22.339163,-43.034904,776,179,127
338,-22.339197,-43.034885,777,179,128
337,-22.339268,-43.034874,777,180,129
336,-22.339354,-43.034878,777,181,130
335,-22.33939,-43.034885,777,182,131
334,-22.339426,-43.034893,776,182,132
333,-22.339521,-43.034924,776,183,133
332,-22.339554,-43.03491,776,184,134
331,-22.33961,-43.03487,777,184,135
330,-22.339678,-43.034836,777,185,136
329,-22.339748,-43.034805,777,186,137
328,-22.339777,-43.03479,778,186,138
327,-22.339844,-43.03477,778,187,139
326,-22.339922,-43.034737,778,188,140
325,-22.34,-43.034683,779,189,141
324,-22.340067,-43.034637,779,190,142
323,-22.340118,-43.034573,780,190,143
322,-22.340149,-43.034546,780,191,144
321,-22.340193,-43.034504,781,191,145
320,-22.340263,-43.034454,781,192,146
319,-22.34033,-43.03441,782,193,147
318,-22.340387,-43.03436,782,194,148
317,-22.340437,-43.034332,783,194,149
316,-22.340502,-43.034294,783,195,150
315,-22.340544,-43.03427,783,196,151
314,-22.340614,-43.03424,784,196,152
313,-22.34067,-43.034218,784,197,153
312,-22.340776,-43.03418,784,198,154
311,-22.340853,-43.034153,785,199,155
310,-22.340933,-43.034122,785,200,156
309,-22.341019,-43.034092,785,201,157
308,-22.341063,-43.03409,785,202,158
307,-22.341108,-43.034077,786,202,159
306,-22.341194,-43.03407,786,203,160
305,-22.341269,-43.03407,786,204,161
304,-22.34135,-43.034042,786,205,162
303,-22.341425,-43.034035,786,206,163
302,-22.341492,-43.034046,786,207,164
301,-22.341595,-43.034058,786,208,165
300,-22.3417,-43.034054,786,209,166
299,-22.34178,-43.03405,786,210,167
298,-22.341852,-43.034027,786,211,168
297,-22.342016,-43.03403,786,213,169
296,-22.34204,-43.03403,786,214,170
297,-22.342016,-43.03403,786,213,171
298,-22.341852,-43.034027,786,211,172
299,-22.34178,-43.03405,786,210,173
300,-22.3417,-43.034054,786,209,174
301,-22.341595,-43.034058,786,208,175
302,-22.341492,-43.034046,786,207,176
303,-22.341425,-43.034035,786,206,177
304,-22.34135,-43.034042,786,205,178
305,-22.341269,-43.03407,786,204,179
306,-22.341194,-43.03407,786,203,180
