id,lat,lng,x,y,index
1,-22.40266,-43.091,133,967,0
127,-22.401855,-43.087517,174,957,1
128,-22.400476,-43.084507,209,940,2
129,-22.402401,-43.08197,239,964,3
131,-22.401985,-43.079178,272,958,4
130,-22.401867,-43.07917,272,957,5
131,-22.401985,-43.079178,272,958,6
132,-22.403471,-43.073906,334,978,7
133,-22.402569,-43.07112,366,966,8
135,-22.398289,-43.067616,407,911,9
137,-22.397873,-43.06719,412,906,10
136,-22.39745,-43.067154,413,901,11
134,-22.3958,-43.067673,407,880,12
138,-22.395063,-43.06788,404,871,13
146,-22.394289,-43.066772,417,861,14
142,-22.39472,-43.065945,427,867,15
139,-22.395634,-43.066006,426,878,16
141,-22.397047,-43.064644,442,896,17
140,-22.397367,-43.065063,437,900,18
141,-22.397047,-43.064644,442,896,19
139,-22.395634,-43.066006,426,878,20
142,-22.39472,-43.065945,427,867,21
147,-22.394606,-43.063065,461,865,22
150,-22.395985,-43.05848,515,882,23
149,-22.39601,-43.058487,515,883,24
150,-22.395985,-43.05848,515,882,25
456,-22.395117,-43.058453,515,872,26
457,-22.39295,-43.05595,544,844,27
458,-22.39196,-43.053627,572,832,28
457,-22.39295,-43.05595,544,844,29
456,-22.395117,-43.058453,515,872,30
150,-22.395985,-43.05848,515,882,31
151,-22.395502,-43.057434,527,876,32
153,-22.393469,-43.058,520,850,33
154,-22.393295,-43.05764,524,848,34
156,-22.39291,-43.05697,532,843,35
152,-22.392792,-43.056473,538,842,36
155,-22.392506,-43.056343,540,838,37
152,-22.392792,-43.056473,538,842,38
156,-22.39291,-43.05697,532,843,39
154,-22.393295,-43.05764,524,848,40
153,-22.393469,-43.058,520,850,41
151,-22.395502,-43.057434,527,876,42
157,-22.39647,-43.05643,539,889,43
159,-22.39526,-43.055153,554,873,44
158,-22.395046,-43.05491,556,871,45
161,-22.397722,-43.05017,612,904,46
453,-22.395693,-43.045776,664,879,47
454,-22.394405,-43.04322,694,863,48
455,-22.393581,-43.04212,707,852,49
454,-22.394405,-43.04322,694,863,50
453,-22.395693,-43.045776,664,879,51
161,-22.397722,-43.05017,612,904,52
452,-22.397675,-43.050465,609,904,53
161,-22.397722,-43.05017,612,904,54
160,-22.39777,-43.04988,616,905,55
162,-22.400461,-43.042397,703,939,56
163,-22.398504,-43.040127,730,915,57
164,-22.396448,-43.035282,787,888,58
165,-22.393494,-43.03414,800,851,59
164,-22.396448,-43.035282,787,888,60
163,-22.398504,-43.040127,730,915,61
162,-22.400461,-43.042397,703,939,62
160,-22.39777,-43.04988,616,905,63
161,-22.397722,-43.05017,612,904,64
158,-22.395046,-43.05491,556,871,65
159,-22.39526,-43.055153,554,873,66
157,-22.39647,-43.05643,539,889,67
151,-22.395502,-43.057434,527,876,68
150,-22.395985,-43.05848,515,882,69
151,-22.395502,-43.057434,527,876,70
150,-22.395985,-43.05848,515,882,71
147,-22.394606,-43.063065,461,865,72
142,-22.39472,-43.065945,427,867,73
146,-22.394289,-43.066772,417,861,74
145,-22.39405,-43.06659,419,858,75
144,-22.391212,-43.067062,414,822,76
143,-22.3909,-43.06671,418,818,77
148,-22.390854,-43.063065,461,817,78
143,-22.3909,-43.06671,418,818,79
144,-22.391212,-43.067062,414,822,80
145,-22.39405,-43.06659,419,858,81
146,-22.394289,-43.066772,417,861,82
142,-22.39472,-43.065945,427,867,83
146,-22.394289,-43.066772,417,861,84
138,-22.395063,-43.06788,404,871,85
134,-22.3958,-43.067673,407,880,86
136,-22.39745,-43.067154,413,901,87
137,-22.397873,-43.06719,412,906,88
135,-22.398289,-43.067616,407,911,89
133,-22.402569,-43.07112,366,966,90
132,-22.403471,-43.073906,334,978,91
131,-22.401985,-43.079178,272,958,92
129,-22.402401,-43.08197,239,964,93
128,-22.400476,-43.084507,209,940,94
127,-22.401855,-43.087517,174,957,95
1,-22.40266,-43.091,133,967,96
4,-22.398148,-43.08902,156,910,97
2,-22.398577,-43.087944,169,915,98
3,-22.399101,-43.084045,214,922,99
