id,lat,lng,x,y,index
1,-22.40146,-43.090508,157,929,0
6,-22.402794,-43.08828,182,945,1
4246,-22.404282,-43.08725,193,963,2
4215,-22.404737,-43.086422,203,968,3
4245,-22.404806,-43.086456,202,969,4
4244,-22.404873,-43.086426,203,970,5
4245,-22.404806,-43.086456,202,969,6
4215,-22.404737,-43.086422,203,968,7
4247,-22.404657,-43.08637,203,967,8
4239,-22.404638,-43.08622,205,967,9
4240,-22.404724,-43.08622,205,968,10
4241,-22.404787,-43.086216,205,969,11
4242,-22.404873,-43.086212,205,970,12
4243,-22.40494,-43.086277,204,971,13
4242,-22.404873,-43.086212,205,970,14
4241,-22.404787,-43.086216,205,969,15
4240,-22.404724,-43.08622,205,968,16
4239,-22.404638,-43.08622,205,967,17
4238,-22.40456,-43.086143,206,966,18
4237,-22.404573,-43.08604,207,966,19
4236,-22.404617,-43.08598,208,967,20
4235,-22.404716,-43.085964,208,968,21
4234,-22.40478,-43.08596,208,969,22
4233,-22.404882,-43.085922,208,970,23
4232,-22.404951,-43.085957,208,971,24
4231,-22.405024,-43.085968,208,972,25
4230,-22.405033,-43.085888,209,972,26
4229,-22.404957,-43.08581,210,971,27
4228,-22.404839,-43.08577,210,970,28
4227,-22.404797,-43.08571,211,969,29
4226,-22.404716,-43.08566,211,968,30
1896,-22.404898,-43.08506,218,970,31
1895,-22.404999,-43.084408,225,971,32
1897,-22.405037,-43.0844,225,972,33
1898,-22.405153,-43.08435,226,973,34
1899,-22.405235,-43.084282,227,974,35
1900,-22.40528,-43.08422,227,975,36
1901,-22.40534,-43.08412,228,976,37
1902,-22.405376,-43.084023,230,976,38
1903,-22.4054,-43.08393,231,976,39
1904,-22.405388,-43.083824,232,976,40
1905,-22.405373,-43.08374,233,976,41
1904,-22.405388,-43.083824,232,976,42
1903,-22.4054,-43.08393,231,976,43
1902,-22.405376,-43.084023,230,976,44
1901,-22.40534,-43.08412,228,976,45
1900,-22.40528,-43.08422,227,975,46
1899,-22.405235,-43.084282,227,974,47
1898,-22.405153,-43.08435,226,973,48
1897,-22.405037,-43.0844,225,972,49
1895,-22.404999,-43.084408,225,971,50
1894,-22.404932,-43.084347,226,971,51
1893,-22.404875,-43.084206,227,970,52
1892,-22.40493,-43.08416,228,971,53
1891,-22.405006,-43.08414,228,972,54
1890,-22.405064,-43.084072,229,972,55
1889,-22.405094,-43.084023,230,973,56
1888,-22.405071,-43.0839,231,972,57
1887,-22.40503,-43.08384,232,972,58
1886,-22.404976,-43.083767,232,971,59
1885,-22.4049,-43.083782,232,970,60
1884,-22.404833,-43.08384,232,969,61
1883,-22.404764,-43.083897,231,969,62
1882,-22.404716,-43.083984,230,968,63
1881,-22.404684,-43.084057,229,968,64
1880,-22.404636,-43.084145,228,967,65
1879,-22.404572,-43.084175,228,966,66
1878,-22.4045,-43.084167,228,965,67
1877,-22.404432,-43.084103,229,965,68
1876,-22.40439,-43.084045,229,964,69
1875,-22.404337,-43.08397,230,964,70
1922,-22.404367,-43.083923,231,964,71
1875,-22.404337,-43.08397,230,964,72
1874,-22.404284,-43.083897,231,963,73
1873,-22.404234,-43.083797,232,962,74
1923,-22.404358,-43.083786,232,964,75
1924,-22.404346,-43.08368,233,964,76
1925,-22.404377,-43.08363,234,964,77
1863,-22.40433,-43.083622,234,963,78
1925,-22.404377,-43.08363,234,964,79
1924,-22.404346,-43.08368,233,964,80
1923,-22.404358,-43.083786,232,964,81
1873,-22.404234,-43.083797,232,962,82
1872,-22.40418,-43.08372,233,962,83
1871,-22.404139,-43.083664,234,961,84
1870,-22.404102,-43.083553,235,961,85
1869,-22.404085,-43.083496,235,960,86
1868,-22.404081,-43.08343,236,960,87
